wnid,accuracy
n01986214,0.76
n01990800,0.56
n02002556,0.86
n02002724,0.78
n02006656,0.98
n02007558,0.9
n02009229,0.67
n02009912,0.82
n02011460,0.74
n02012849,0.57
n02013706,0.94
n02017213,0.92
n02018207,0.82
n02018795,0.88
n02025239,0.98
n02027492,0.71
n02028035,0.83
n02033041,0.86
n02037110,0.8
n02051845,0.82
n02056570,0.86
n02058221,0.86
n02066245,0.85
n02071294,0.94
n02074367,0.82
n02077923,0.78
n02085620,0.52
n02085782,0.72
n02085936,0.66
n02086079,0.73
n02086240,0.58
n02086646,0.88
n02086910,0.72
n02087046,0.48
n02087394,0.5
n02088094,0.69
n02088238,0.78
n02088364,0.68
n02088466,0.46
n02088632,0.84
n02089078,0.63
n02089867,0.56
n02089973,0.4
n02090379,0.64
n02090622,0.84
n02090721,0.46
n02091032,0.66
n02091134,0.68
n02091244,0.67
n02091467,0.8
n02091635,0.56
n02091831,0.56
n02092002,0.72
n02092339,0.9
n02093256,0.56
n02093428,0.48
n02093647,0.82
n02093754,0.67
n02093859,0.7
n02093991,0.56
n02094114,0.48
n02094258,0.6
n02094433,0.4
n02095314,0.74
n02095570,0.55
n02095889,0.76
n02096051,0.82
n02096177,0.54
n02096294,0.44
n02096437,0.7
n02096585,0.78
n02097047,0.6
n02097130,0.58
n02097209,0.68
n02097298,0.68
n02097474,0.37
n02097658,0.52
n02098105,0.54
n02098286,0.76
n02098413,0.52
n02099267,0.62
n02099429,0.64
n02099601,0.6
n02099712,0.66
n02099849,0.66
n02100236,0.63
n02100583,0.66
n02100735,0.66
n02100877,0.68
n02101006,0.76
n02101388,0.73
n02101556,0.82
n02102040,0.8
n02102177,0.94
n02102318,0.54
n02102480,0.61
n02102973,0.86
n02104029,0.62
n02104365,0.76
n02105056,0.68
n02105162,0.76
n02105251,0.48
n02105412,0.57
n02105505,0.86
n02105641,0.8
n02105855,0.59
n02106030,0.56
n02106166,0.66
n02106382,0.62
n02106550,0.7
n02106662,0.68
n02107142,0.6
n02107312,0.5
n02107574,0.66
n02107683,0.91
n02107908,0.3
n02108000,0.5
n02108089,0.58
n02108422,0.71
n02108551,0.86
n02108915,0.72
n02109047,0.56
n02109525,0.9
n02109961,0.26
n02110063,0.57
n02110185,0.55
n02110341,0.96
n02110627,0.66
n02110806,0.82
n02110958,0.84
n02111129,0.96
n02111277,0.76
n02111500,0.66
n02111889,0.88
n02112018,0.88
n02112137,0.8
n02112350,0.76
n02112706,0.66
n02113023,0.72
n02113186,0.54
n02113624,0.45
n02113712,0.28
n02113799,0.71
n02113978,0.86
n02114367,0.67
n02114548,0.78
n02114712,0.46
n02114855,0.6
n02115641,0.71
n02115913,0.82
n02116738,0.94
n02117135,0.82
n02119022,0.55
n02119789,0.44
n02120079,0.84
n02120505,0.7
n02123045,0.54
n02123159,0.28
n02123394,0.74
n02123597,0.94
n02124075,0.46
n02125311,0.74
n02127052,0.6
n02128385,0.8
n02128757,0.84
n02128925,0.61
n02129165,0.84
n02129604,0.9
n02130308,0.92
n02132136,0.84
n02133161,0.82
n02134084,0.89
n02134418,0.6
n02137549,0.54
n02138441,0.82
n02165105,0.79
n02165456,0.88
n02167151,0.52
n02168699,0.43
n02169497,0.58
n02172182,0.86
n02174001,0.78
n02177972,0.74
n02190166,0.8
n02206856,0.61
n02219486,0.65
n02226429,0.5
n02229544,0.48
n02231487,0.55
n02233338,0.56
n02236044,0.48
n02256656,0.65
n02259212,0.86
n02264363,0.74
n02268443,0.66
n02268853,0.59
n02276258,0.9
n02277742,0.86
n02279972,0.9
n02280649,0.86
n02281406,0.88
n02281787,0.84
n02317335,0.75
n02319095,0.7
n02321529,0.64
n02325366,0.68
n02326432,0.8
n02328150,0.92
n02342885,0.96
n02346627,0.82
n02356798,0.74
n02361337,0.78
n02363005,0.62
n02364673,0.72
n02389026,0.92
n02391049,0.96
n02395406,0.43
n02396427,0.68
n02397096,0.67
n02398521,0.82
n02403003,0.38
n02408429,0.66
n02410509,0.92
n02412080,0.54
n02415577,0.74
n02417914,0.88
n02422106,0.88
n02422699,0.74
n02423022,0.6
n02437312,0.86
n02437616,0.78
n02441942,0.4
n02442845,0.55
n02443114,0.35
n02443484,0.5
n02444819,0.68
n02445715,0.86
n02447366,0.84
n02454379,0.8
n02457408,0.76
n02480495,0.8
n02480855,0.73
n02481823,0.68
n02483362,0.66
n02483708,0.5
n02484975,0.74
n02486261,0.56
n02486410,0.84
n02487347,0.66
n02488291,0.5
n02488702,0.78
n02489166,0.94
n02490219,0.71
n02492035,0.7
n02492660,0.84
n02493509,0.5
n02493793,0.44
n02494079,0.76
n02497673,0.77
n02500267,0.84
n02504013,0.44
n02504458,0.56
n02509815,0.94
n02510455,0.84
n02514041,0.6
n02526121,0.51
n02536864,0.58
n02606052,0.92
n02607072,0.78
n02640242,0.59
n02641379,0.57
n02643566,0.88
n02655020,0.7
n02666196,0.79
n02667093,0.7
n02669723,0.39
n02672831,0.72
n02676566,0.41
n02687172,0.83
n02690373,0.78
n02692877,0.78
n02699494,0.72
n02701002,0.88
n02704792,0.54
n02708093,0.44
n02727426,0.86
n02730930,0.64
n02747177,0.29
n02749479,0.36
n02769748,0.3
n02776631,0.23
n02777292,0.92
n02782093,0.84
n02783161,0.46
n02786058,0.47
n02787622,0.78
n02788148,0.67
n02790996,0.62
n02791124,0.68
n02791270,0.42
n02793495,0.92
n02794156,0.76
n02795169,0.5
n02797295,0.57
n02799071,0.59
n02802426,0.74
n02804414,0.72
n02804610,0.61
n02807133,0.57
n02808304,0.53
n02808440,0.37
n02814533,0.35
n02814860,0.74
n02815834,0.36
n02817516,0.91
n02823428,0.65
n02823750,0.54
n02825657,0.43
n02834397,0.57
n02835271,0.7
n02837789,0.62
n02840245,0.52
n02841315,0.44
n02843684,0.87
n02859443,0.59
n02860847,0.79
n02865351,0.77
n02869837,0.62
n02870880,0.58
n02871525,0.59
n02877765,0.62
n02879718,0.55
n02883205,0.6
n02892201,0.84
n02892767,0.4
n02894605,0.62
n02895154,0.31
n02906734,0.58
n02909870,0.45
n02910353,0.32
n02916936,0.45
n02917067,0.92
n02927161,0.69
n02930766,0.65
n02939185,0.43
n02948072,0.61
n02950826,0.78
n02951358,0.84
n02951585,0.49
n02963159,0.58
n02965783,0.92
n02966193,0.94
n02966687,0.63
n02971356,0.52
n02974003,0.28
n02977058,0.73
n02978881,0.48
n02979186,0.26
n02980441,0.76
n02981792,0.59
n02988304,0.29
n02992211,0.62
n02992529,0.52
n02999410,0.21
n03000134,0.6
n03000247,0.62
n03000684,0.82
n03014705,0.64
n03016953,0.19
n03017168,0.46
n03018349,0.74
n03026506,0.85
n03028079,0.64
n03032252,0.64
n03041632,0.2
n03042490,0.78
n03045698,0.33
n03047690,0.54
n03062245,0.65
n03063599,0.51
n03063689,0.5
n03065424,0.5
n03075370,0.56
n03085013,0.63
n03089624,0.51
n03095699,0.8
n03100240,0.66
n03109150,0.62
n03110669,0.4
n03124043,0.45
n03124170,0.44
n03125729,0.34
n03126707,0.69
n03127747,0.75
n03127925,0.58
n03131574,0.68
n03133878,0.66
n03134739,0.84
n03141823,0.31
n03146219,0.36
n03160309,0.73
n03179701,0.49
n03180011,0.51
n03187595,0.8
n03188531,0.57
n03196217,0.55
n03197337,0.58
n03201208,0.69
n03207743,0.82
n03207941,0.44
n03208938,0.76
n03216828,0.49
n03218198,0.88
n03220513,0.42
n03223299,0.5
n03240683,0.83
n03249569,0.37
n03250847,0.38
n03255030,0.52
n03259280,0.61
n03271574,0.58
n03272010,0.64
n03272562,0.92
n03290653,0.89
n03291819,0.51
n03297495,0.38
n03314780,0.56
n03325584,0.74
n03337140,0.72
n03344393,0.93
n03345487,0.8
n03347037,0.5
n03355925,0.59
n03372029,0.33
n03376595,0.5
n03379051,0.82
n03384352,0.76
n03388043,0.84
n03388183,0.58
n03388549,0.82
n03393912,0.96
n03394916,0.56
n03400231,0.33
n03404251,0.8
n03417042,0.92
n03424325,0.56
n03425413,0.72
n03443371,0.58
n03444034,0.79
n03445777,0.79
n03445924,0.79
n03447447,0.78
n03447721,0.77
n03450230,0.46
n03452741,0.6
n03457902,0.78
n03459775,0.52
n03461385,0.47
n03467068,0.7
n03476684,0.39
n03476991,0.28
n03478589,0.69
n03481172,0.47
n03482405,0.64
n03483316,0.39
n03485407,0.47
n03485794,0.62
n03492542,0.66
n03494278,0.53
n03495258,0.84
n03496892,0.73
n03498962,0.44
n03527444,0.69
n03529860,0.54
n03530642,0.46
n03532672,0.17
n03534580,0.5
n03535780,0.72
n03538406,0.67
n03544143,0.84
n03584254,0.67
n03584829,0.7
n03590841,0.96
n03594734,0.59
n03594945,0.66
n03595614,0.72
n03598930,0.73
n03599486,0.86
n03602883,0.62
n03617480,0.76
n03623198,0.7
n03627232,0.72
n03630383,0.72
n03633091,0.27
n03637318,0.39
n03642806,0.2
n03649909,0.84
n03657121,0.36
n03658185,0.22
n03661043,0.45
n03662601,0.92
n03666591,0.47
n03670208,0.69
n03673027,0.92
n03676483,0.67
n03680355,0.65
n03690938,0.61
n03691459,0.46
n03692522,0.25
n03697007,0.76
n03706229,0.6
n03709823,0.49
n03710193,0.74
n03710637,0.08
n03710721,0.2
n03717622,0.9
n03720891,0.57
n03721384,0.84
n03724870,0.41
n03729826,0.62
n03733131,0.94
n03733281,0.9
n03733805,0.53
n03742115,0.55
n03743016,0.84
n03759954,0.4
n03761084,0.46
n03763968,0.45
n03764736,0.6
n03769881,0.79
n03770439,0.29
n03770679,0.41
n03773504,0.53
n03775071,0.7
n03775546,0.72
n03776460,0.55
n03777568,0.82
n03777754,0.62
n03781244,0.56
n03782006,0.1
n03785016,0.5
n03786901,0.63
n03787032,0.64
n03788195,0.89
n03788365,0.88
n03791053,0.76
n03792782,0.73
n03792972,0.78
n03793489,0.28
n03794056,0.66
n03796401,0.47
n03803284,0.22
n03804744,0.68
n03814639,0.44
n03814906,0.84
n03825788,0.7
n03832673,0.2
n03837869,0.67
n03838899,0.61
n03840681,0.68
n03841143,0.98
n03843555,0.51
n03854065,0.77
n03857828,0.88
n03866082,0.22
n03868242,0.7
n03868863,0.4
n03871628,0.49
n03873416,0.58
n03874293,0.88
n03874599,0.7
n03876231,0.56
n03877472,0.51
n03877845,0.59
n03884397,0.75
n03887697,0.42
n03888257,0.92
n03888605,0.44
n03891251,0.64
n03891332,0.8
n03895866,0.5
n03899768,0.62
n03902125,0.7
n03903868,0.49
n03908618,0.44
n03908714,0.46
n03916031,0.71
n03920288,0.6
n03924679,0.88
n03929660,0.7
n03929855,0.64
n03930313,0.88
n03930630,0.44
n03933933,0.46
n03935335,0.67
n03937543,0.68
n03938244,0.66
n03942813,0.82
n03944341,0.59
n03947888,0.76
n03950228,0.4
n03954731,0.71
n03956157,0.9
n03958227,0.35
n03961711,0.4
n03967562,0.57
n03970156,0.33
n03976467,0.74
n03976657,0.32
n03977966,0.69
n03980874,0.71
n03982430,0.76
n03983396,0.66
n03991062,0.82
n03992509,0.81
n03995372,0.46
n03998194,0.7
n04004767,0.43
n04005630,0.64
n04008634,0.24
n04009552,0.55
n04019541,0.92
n04023962,0.58
n04026417,0.32
n04033901,0.62
n04033995,0.46
n04037443,0.71
n04039381,0.6
n04040759,0.64
n04041544,0.43
n04044716,0.94
n04049303,0.73
n04065272,0.82
n04067472,0.43
n04069434,0.58
n04070727,0.64
n04074963,0.62
n04081281,0.47
n04086273,0.7
n04090263,0.27
n04099969,0.42
n04111531,0.78
n04116512,0.53
n04118538,0.78
n04118776,0.73
n04120489,0.62
n04125021,0.76
n04127249,0.5
n04131690,0.63
n04133789,0.54
n04136333,0.51
n04141076,0.57
n04141327,0.7
n04141975,0.54
n04146614,0.89
n04147183,0.76
n04149813,0.83
n04152593,0.15
n04153751,0.91
n04154565,0.13
n04162706,0.62
n04179913,0.73
n04192698,0.4
n04200800,0.65
n04201297,0.67
n04204238,0.58
n04204347,0.66
n04208210,0.47
n04209133,0.62
n04209239,0.57
n04228054,0.6
n04229816,0.66
n04235860,0.46
n04238763,0.58
n04239074,0.34
n04243546,0.93
n04251144,0.82
n04252077,0.86
n04252225,0.92
n04254120,0.49
n04254680,0.86
n04254777,0.56
n04258138,0.64
n04259630,0.54
n04263257,0.4
n04264628,0.5
n04265275,0.5
n04266014,0.83
n04270147,0.2
n04273569,0.72
n04275548,0.58
n04277352,0.57
n04285008,0.42
n04286575,0.26
n04296562,0.62
n04310018,0.84
n04311004,0.81
n04311174,0.83
n04317175,0.31
n04325704,0.38
n04326547,0.76
n04328186,0.46
n04330267,0.53
n04332243,0.5
n04335435,0.88
n04336792,0.26
n04344873,0.62
n04346328,0.86
n04347754,0.72
n04350905,0.35
n04355338,0.46
n04355933,0.14
n04356056,0.19
n04357314,0.15
n04366367,0.56
n04367480,0.8
n04370456,0.28
n04371430,0.47
n04371774,0.72
n04372370,0.61
n04376876,0.59
n04380533,0.54
n04389033,0.79
n04392985,0.25
n04398044,0.68
n04399382,0.74
n04404412,0.46
n04409515,0.77
n04417672,0.8
n04418357,0.82
n04423845,0.58
n04428191,0.48
n04429376,0.62
n04435653,0.63
n04442312,0.58
n04443257,0.33
n04447861,0.59
n04456115,0.64
n04458633,0.86
n04461696,0.5
n04462240,0.65
n04465501,0.78
n04467665,0.53
n04476259,0.47
n04479046,0.2
n04482393,0.77
n04483307,0.7
n04485082,0.61
n04486054,0.9
n04487081,0.79
n04487394,0.51
n04493381,0.22
n04501370,0.67
n04505470,0.53
n04507155,0.46
n04509417,0.69
n04515003,0.74
n04517823,0.62
n04522168,0.49
n04523525,0.7
n04525038,0.12
n04525305,0.94
n04532106,0.49
n04532670,0.74
n04536866,0.51
n04540053,0.92
n04542943,0.57
n04548280,0.4
n04548362,0.46
n04550184,0.56
n04552348,0.68
n04553703,0.78
n04554684,0.75
n04557648,0.36
n04560804,0.14
n04562935,0.94
n04579145,0.67
n04579432,0.56
n04584207,0.68
n04589890,0.66
n04590129,0.44
n04591157,0.2
n04591713,0.4
n04592741,0.58
n04596742,0.28
n04597913,0.47
n04599235,0.35
n04604644,0.66
n04606251,0.78
n04612504,0.69
n04613696,0.79
n06359193,0.92
n06596364,0.43
n06785654,0.74
n06794110,0.7
n06874185,0.73
n07248320,0.59
n07565083,0.8
n07579787,0.46
n07583066,0.59
n07584110,0.5
n07590611,0.62
n07613480,0.88
n07614500,0.54
n07615774,0.54
n07684084,0.5
n07693725,0.71
n07695742,0.76
n07697313,0.85
n07697537,0.7
n07711569,0.6
n07714571,0.79
n07714990,0.93
n07715103,0.8
n07716358,0.54
n07716906,0.72
n07717410,0.79
n07717556,0.61
n07718472,0.67
n07718747,0.72
n07720875,0.9
n07730033,0.94
n07734744,0.32
n07742313,0.91
n07745940,0.75
n07747607,0.72
n07749582,0.79
n07753113,0.75
n07753275,0.73
n07753592,0.68
n07754684,0.87
n07760859,0.84
n07768694,0.83
n07802026,0.78
n07831146,0.76
n07836838,0.42
n07860988,0.25
n07871810,0.55
n07873807,0.72
n07875152,0.61
n07880968,0.66
n07892512,0.52
n07920052,0.5
n07930864,0.31
n07932039,0.35
n09193705,0.5
n09229709,0.75
n09246464,0.62
n09256479,0.79
n09288635,0.93
n09332890,0.51
n09399592,0.5
n09421951,0.53
n09428293,0.48
n09468604,0.74
n09472597,0.68
n09835506,0.62
n10148035,0.63
n10565667,0.76
n11879895,0.95
n11939491,1.0
n12057211,1.0
n12144580,0.18
n12267677,0.88
n12620546,0.95
n12768682,0.83
n12985857,0.98
n12998815,0.84
n13037406,0.86
n13040303,0.74
n13044778,1.0
n13052670,0.72
n13054560,0.6
n13133613,0.5
n15075141,0.36
